Unidade;UG;ND;Detalhamento ND;fev-22;mar-22;abr-22;mai-22;jun-22;jul-22;ago-22;set-22;out-22;nov-22;dez-22;Total
SA/SG-PR;110001;33903022;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;4946,1;3344,31;;12439,03;5523,25;6334,71;6182,28;7539,69;12988,38;4382,1;12166,65;75846,5
SA/SG-PR;110001;33903941;FORNECIMENTO DE ALIMENTACAO;13168,8;163339,58;164334,25;286343,88;271991,26;325456,41;558095,95;541551,91;391737,43;525600,02;242005,13;3483624,62
SA/SG-PR;110001;33903007;GENEROS DE ALIMENTACAO;55803,86;69126,89;2053;155074,25;84743,85;179318,54;94838,67;181123,34;95612;114565,49;146337,48;1178597,37
SA/SG-PR;110001;33903680;HOSPEDAGENS PF;;;;;;;;6400;;;;6400
SA/SG-PR;110001;33903980;HOSPEDAGENS PJ;78819,85;357445,8;162884,29;834588,81;382874,45;639264,62;576299,55;670177,68;504108,3;591499,43;346950,27;5144913,05
SA/SG-PR;110001;33903910;LOCACAO DE IMOVEIS;1350;;2580;;3800;6300;;8005;1848;11087;;34970
SA/SG-PR;110001;33903912;LOCACAO DE MAQUINAS E EQUIPAMENTOS;;8500;;;;;;;;;;8500
;;33903914;LOCACAO BENS MOV. OUT.NATUREZAS E INTANGIVEIS;;60740;41500;28429,99;40100;61189,99;53034,79;74200;62300;45855;16100;483449,77
SA/SG-PR;110001;33903979;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;17833,49;163136,29;547818,62;42369,79;44380,72;71412,62;166477,42;293073,74;593270,09;48456,3;85010,03;2073239,11
SA/SG-PR;110001;33903001;COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;;85665,34;9338,03;54356,37;1633,71;15384,35;23045,84;16984,1;2195;9323,8;4261,59;222188,13
SA/SG-PR;110001;33903950;SERV.MEDICO-HOSPITAL.,ODONTOL.E LABORATORIAIS;;3010,74;41798,28;;;;;;;;;44809,02
SA/SG-PR;110001;33903307;DESPESAS COM EXCESSO DE BAGAGEM;;;860;5875;350;6090;720;4165;4490;1810;4160;28520
SA/SG-PR;110001;33903003;COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES;;118,34;;44,7;;19425,94;;;;;;19588,98
SA/SG-PR;110001;33903021;MATERIAL DE COPA E COZINHA;26,46;89,8;;7889,98;1830,47;2035,79;1402,51;684,46;530,3;1184,82;776,98;16451,57
SA/SG-PR;110001;33903019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;103;430;;49,52;596,87;987,08;1180,97;2115,45;1600,35;2244,03;2107,3;11414,57
SA/SG-PR;110001;33903009;MATERIAL FARMACOLOGICO;999,46;306,54;;685,24;302,85;592,97;955,16;1286,68;544,13;1238,15;2070,25;8981,43
SA/SG-PR;110001;33903026;MATERIAL ELETRICO E ELETRONICO;;;;;340,9;249;1303,94;851,2;1667,28;1298,8;329,9;6041,02
SA/SG-PR;110001;33903907;DESCONTOS FINANCEIROS CONCEDIDOS;;;;;;;720;;5000;;;5720
SA/SG-PR;110001;33903020;MATERIAL DE CAMA, MESA E BANHO;180;180;;600;2103;9,57;440;749;539,88;;679,88;5481,33
SA/SG-PR;110001;33903934;VARIACAO CAMBIAL NEGATIVA;;3556,83;;;;166,93;;;308,88;;;4032,64
SA/SG-PR;110001;33903901;ASSINATURAS DE PERIODICOS E ANUIDADES;;1475,6;;;;;;1600;;;;3075,6
SA/SG-PR;110001;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;;;;;57;;;1680;;331,9;;2068,9
SA/SG-PR;110001;33903028;MATERIAL DE PROTECAO E SEGURANCA;;54,8;;;250,69;660;;;;;1003,5;1968,99
SA/SG-PR;110001;33903006;ALIMENTOS PARA ANIMAIS;;587,98;;636,98;584,98;;;;;;;1809,94
SA/SG-PR;110001;44905212;APARELHOS E UTENSILIOS DOMESTICOS;;;;;1250,7;;249,9;;;;;1500,6
SA/SG-PR;110001;33903015;MATERIAL P/ FESTIVIDADES E HOMENAGENS;;31,5;;280,58;;106,2;;27,1;99,6;521,1;354,3;1420,38
SA/SG-PR;110001;33903016;MATERIAL DE EXPEDIENTE;14,99;184,4;;112,6;;289,3;11,5;15;59,9;248,76;413,67;1350,12
SA/SG-PR;110001;33903025;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;;;;;;;;359,27;665;;;1024,27
SA/SG-PR;110001;33903034;SOBRESSAL. MAQ.E MOTORES NAVIOS E EMBARCACOES;;410;;480;;;;;;;;890
SA/SG-PR;110001;33903030;MATERIAL PARA COMUNICACOES;;;10;;850,25;;;;;;;860,25
SA/SG-PR;110001;33903919;MANUTENCAO E CONSERV. DE VEICULOS;;;;440;;;;;;;;440
SA/SG-PR;110001;33903918;SERVICOS DE ESTACIONAMENTO DE VEICULOS;;;;;;400;;;;;;400
SA/SG-PR;110001;33903917;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;;390;;;;;;;;;;390
SA/SG-PR;110001;33903023;UNIFORMES, TECIDOS E AVIAMENTOS;;;;;;21,4;;;;266,4;;287,8
SA/SG-PR;110001;33903042;FERRAMENTAS;;;;;;;;;22;;209,7;231,7
SA/SG-PR;110001;33903958;SERVICOS DE TELECOMUNICACOES;;;100;;;;;;;;;100
SA/SG-PR;110001;33903004;GAS E OUTROS MATERIAIS ENGARRAFADOS;;;;;;56,7;;;;;37,8;94,5
SA/SG-PR;110001;33903011;MATERIAL QUIMICO;;;;84,4;;;;;;;;84,4
SA/SG-PR;110001;33903905;SERVICOS TECNICOS PROFISSIONAIS;82,5;;;;;;;;;;;82,5
Total;;;;173328,51;922124,74;973276,47;1430781,12;843564,95;1335752,12;1484958,48;1812588,62;1679586,52;1359913,1;864974,43;12880849,06
